Date,Text,Username,Length_Text,Sentiment
Wed Dec 13 23:47:11 +0000 2023,"@Hasbil_Lbs @aniesbaswedan gampang sih bikin video kya gt... konsepnya gt gampang banget, sebarin d medsos... rame deh netizen. tp yg perlindungan ingat adalah orang pintar pasti minumnya tolak dungu...   #AniesMuhaimin2024",DzulfiqorParisi,254,Negative
Wed Dec 13 23:46:34 +0000 2023,"Lagi, lagi dan terus Tokoh Harapan yg dirindukan di setiap Jengkal Tanah air Indonesia disambut dengan meriah dan penuh antusias. #AMINAjaDulu #AminPalingSiapUntukIndonesia #AniesMuhaimin2024",sumadiseloguno,222,Positive
Wed Dec 13 23:43:39 +0000 2023,Biarpun BuzzeRp dikerahkan utk trs bela junjungannya agar terlihat gemoy... Tp karakter tak bisa dipoles dgn kata2 apalagi gimik.. Itu memang sdh pemberian susah buat berubah.  #AniesMuhaimin2024 #WakandaNoMoreIndonesiaForever https://t.co/W0bAeW6CRY,AlfathMelfas,281,Negative
Wed Dec 13 23:36:50 +0000 2023,Kagum dgn senyum pak Anies yg teteup tersungging di bibirnya walaupun ada sanggahan dari pak Timbul yg sdh nyerang secara pribadi. Respect and appreciate very much ?? #AniesMuhaimin2024,SBahriTweet,216,Positive
Wed Dec 13 23:36:04 +0000 2023,Gemoy sih tapiiii..udah TUAAAAA..????...jadi sering lupa berkali kali nyapres...??????  #AniesMuhaimin2024 https://t.co/gxKSebpjFX,samask_1,161,Neutral
Wed Dec 13 23:31:50 +0000 2023,Contoh nyata Fenomena ORDAL yang menyebalkan. Indonesia butuh perubahan   #AniesMuhaimin2024  #AMINAjaDulu https://t.co/uv8NXrVccC,pengusahatanggu,161,Positive
Wed Dec 13 23:23:21 +0000 2023,@Mdy_Asmara1701 Alhamdulillah semoga bertanda baik Aamiinn #AniesJuaraDebatCapres  #AniesMuhaimin2024,Fadly799,132,Positive
Wed Dec 13 23:20:32 +0000 2023,"So far bukan GEMOY ternyata, tapi GIANT nya @doraemonChannel ??????????????  #AniesMuhaimin2024 #pemimpinmuda  #pemimpinkelasdunia",mimpi3periode,161,Positive
Wed Dec 13 23:02:13 +0000 2023,Manteman gak usah respon buzzer semakin d respon/komen dapet bayaran tuhh ??  Abaikan setiap tuit mrk biar sepi  Fokus share posting #AMIN #AniesMuhaimin2024,rillamaria_,188,Positive
Wed Dec 13 22:56:08 +0000 2023,Moga2 para galauers sudah menentukan pilihannya ke pas no. 1  #AniesMuhaimin2024  #AniesJuaraDebatCapres,akh_firta75,135,Neutral
Wed Dec 13 22:49:34 +0000 2023,UAS bersama Anies Baswedan  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/SZU1qDxnKa,BangPino__,115,Positive
Wed Dec 13 22:41:23 +0000 2023,@voiceofpkb @aniesbaswedan @cakimiNOW Amin Memang  #AniesMuhaimin2024,TenriTenri3,100,Positive
Wed Dec 13 22:08:20 +0000 2023,"Wakanda No More, Indonesia Forever! ? Bismillah #AMIN #AniesMuhaimin2024",rillamaria_,103,Positive
Wed Dec 13 22:06:17 +0000 2023,Jadwal Kampanye @aniesbaswedan smpe 31 Des 2023. Semoga diberkan kelancaran #AMINAjaDulu #AMIN2024 #AniesMuhaimin2024 https://t.co/jjMspvOP51,SobatAniesMania,172,Positive
Wed Dec 13 21:56:46 +0000 2023,"Bicaralah dengan fakta, data dan ilmu pengetahuan. Bukan dengan fiksi dan khayalan.  Ini yg dimaksud.  #AniesMuhaimin2024 https://t.co/V9qVcHJaq0",RedJackal12,176,Neutral
Wed Dec 13 20:30:54 +0000 2023,Sedih Rivew Jejak digital. This Time for Ngerujak KELEDAI #AniesMuhaimin2024 https://t.co/j2CJ7Lydyy,Kurtubi_ahmed82,131,Neutral
Wed Dec 13 19:06:14 +0000 2023,@aniesbaswedan Bismillahirrahmanirrahim #AniesMuhaimin2024,majidibrahimm,89,Neutral
Wed Dec 13 18:03:49 +0000 2023,MasyaAllah Tabarakallah  #AMINAjaDulu  #AniesMuhaimin2024,sloth_wave,88,Positive
Wed Dec 13 18:02:53 +0000 2023,angin tidak punya KTP~~???? #AniesMuhaimin2024  #allinprabowo  #prabowogibran #DebatCapres,fidiaandyn_,121,Neutral
Wed Dec 13 17:59:27 +0000 2023,"Poling Diadakan Oleh Kader PSI Dan Yang Menang Anies Baswedan,  #AniesMuhaimin2024 https://t.co/octOFXgCJU",msw_andi,137,Positive
Wed Dec 13 17:48:49 +0000 2023,"Unggul Telak Dalam Debat Capres  Anies Baswedan Memang Paling Layak Menjadi Presiden RI 2024,  Pilihan Cerdas  Anies Baswedan  #AniesMuhaimin2024 #WakandaNoMoreIndonesiaForever https://t.co/Rz55TUVj6f",msw_andi,231,Positive
Wed Dec 13 17:32:11 +0000 2023,Sihlakan Retweet bagi yang dukung @aniesbaswedan &amp  @cakimiNOW  ???????????????????????? #AniesMuhaimin2024 https://t.co/osqGEsrgdP,NafisahKH2022,165,Positive
Wed Dec 13 16:50:05 +0000 2023,"@DPP_PKB @aniesbaswedan @cakimiNOW good job pak Anies Baswedan!  Bersama pak Muhaimin, akan memimpin Indonesia dengan lebih baik lagi. Ada banyak perubahan yang harus dilakukan. #AniesMuhaimin2024",pikiranlugu,227,Positive
Wed Dec 13 16:49:49 +0000 2023,@bengkeldodo @Ndons_Back @AndreasSolusi @suwito_abdullah @Msimsims2ND @NdaJoesh @wongunner @ekowboy2 @seeksixsuck @Partono_ADjem @IMRONBIAN Mungkin dulu anda terlalu banyak asupan asam sulfat &amp  ga nyimak debat dengan seksama jadi ga nyampe. #AniesMuhaimin2024 #AMINAjaDulu,candle_nu,307,Negative
Wed Dec 13 16:44:31 +0000 2023,"@KompasTV Kami menilai bahwa paslon nomor 01, Anies Baswedan adalah pemimpin yang terbaik yang dimiliki Indonesia saat ini.  Indonesia akan terurus dengan baik, dengan pemimpin yang betul-betul memiliki kecakapan memimpin. #AniesMuhaimin2024",pikiranlugu,272,Positive
Wed Dec 13 16:37:30 +0000 2023,"@RadioElshinta Anies Baswedan menguasai arena dan situasi dengan sangat baik, berbekal pengetahuan yang lengkap dan juga cara penyampaiannya. Tidak emosional, dan tutur kata enak didengar, sangat runtut dan jelas. #AniesMuhaimin2024",pikiranlugu,263,Positive
Wed Dec 13 16:23:14 +0000 2023,Alhamdulillah.. Akhirnya Ustadz Abdul Somad dukung No 1 ??  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/1HoInyjUqc,Mdy_Asmara1701,147,Positive
Wed Dec 13 16:19:51 +0000 2023,"Pak Anies Baswedan bersama Istri dan ibunda mengunjungi Ustadz Abdul Somad di Rumah Omak Pekanbaru, Riau   #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/hnhJqKLeKA",Mdy_Asmara1701,194,Positive
Wed Dec 13 16:11:41 +0000 2023,@aniesbaswedan Punchline nya keren pak..  Termasuk ulti ke gemoy ???? #aniesbaswedan #AniesMuhaimin2024 #AniesPresiden2024,Xtingrays19,153,Neutral
Wed Dec 13 16:11:38 +0000 2023,@BosPurwa Alhamdulillah Ustad Abdul Somad ???? #AniesMuhaimin2024 #AMINAjaDulu,champoet,109,Positive
Wed Dec 13 16:09:19 +0000 2023,"Maaf pak @prabowo mas @ganjarpranowo terbukti mas @aniesbaswedan memang layak UNGGULÓ dalam debat perdana Capres 2024 ????  #AMINAjaDulu  #AMINMakinYakin #AniesMuhaimin2024 https://t.co/h0eeoQU9Ae""",mukhitkd,228,Positive
Wed Dec 13 16:08:39 +0000 2023,"Insha Allah, 1 Indonesia 1 Kesatuan 1 #AniesMuhaimin2024 1 #AniesPresiden2024",Pengh4y4L4b4d1,108,Neutral
Wed Dec 13 16:07:02 +0000 2023,"@Heindrahayyun1 Kawal terus suara perubahan, AMIN paling Serius. Bergerak demi perubahan #aniesbaswedan #AniesMuhaimin2024 #AMINIndonesiaLebihBaik",maldakristina,177,Positive
Wed Dec 13 16:01:48 +0000 2023,@getteng_hola Rakyat sudah mulai tergerak dan sadar untuk menuju perubahan #aniesbaswedan #AniesMuhaimin2024 #AniesPresiden2024,maldakristina,158,Positive
Wed Dec 13 15:54:59 +0000 2023,@RadioElshinta Penguasaan panggung 9 Penguasaan materi 9.5 Penguasaan diri 9.5 Penguasaan solusi 8 Penguasaan komunikasi.. 10 ANIES SAPU BERSIH  @aniesbaswedan  @cakimiNOW  #AniesMuhaimin2024,arramia,222,Positive
Wed Dec 13 15:51:36 +0000 2023,"@aniesbaswedan Harapan kita adalah terciptanya rasa keadilan bagi rakyat, AMIN Nomor 1. #aniesbaswedan #AniesMuhaimin2024",maldakristina,152,Positive
Wed Dec 13 15:49:04 +0000 2023,Setelah saya melihat debat capres pertama dengan ini saya beralih ke Paslon nomor urut 1  #AMINAjaDulu  #am1en  #AniesMuhaimin2024 #AniesJuaraDebatCapres,bangjo_id,184,Positive
Wed Dec 13 15:45:30 +0000 2023,Orang Cerdas....!!!   Ambil Uangnya...  Pakai Kaosnya...  Sikat Nasinya...  Anies Pilihannya...   #AniesMuhaimin2024 #AMINAjaDulu  #DebatCapres https://t.co/bEXMI4myYI,PERSIBPRIDE1933,198,Positive
Wed Dec 13 15:36:00 +0000 2023,Wkwkw...yah setidaknya pendukung AMIN makan gratis...ambil nasi dan amplopnya...jangan coblos orangnya?????? #AniesJuaraDebatCapres  #aniesbaswedan  #AniesMuhaimin2024,ayahnyaAmsyar29,198,Positive
Wed Dec 13 15:19:14 +0000 2023,Menunjukkan kualitas pendukungnya #AniesMuhaimin2024,WSetyoko,83,Positive
Wed Dec 13 15:09:21 +0000 2023,"Intinya kalo pilih paslon 1, kita jadi selobby sama Rohingya. Pilih paslon 3 , di setir lagi sama emak2 banteng Pilih paslon 2, makin banyak template tiktok ges.   #debatcapres2024 #Pilpres2024 #PrabowoGibran2024 #AniesMuhaimin2024 #GanjarMahfud2024 #viraldebat",Reyimexterio,292,Neutral
Wed Dec 13 15:07:29 +0000 2023,@descha05 @abee45472430357 AlhamdulillahirabbilÕalamin  #PilihNomorSatu #AniesMuhaimin2024 #AminAjaDulu,RizalIsaNst,134,Positive
Wed Dec 13 15:03:53 +0000 2023,Pendukung wowo &amp  asam sulfat tertawa angin tak punya KTP. simak dg cermat video lengkap ini..pak @aniesbaswedan yg asal bicara atau wowo yg gagal paham?? Yu ah kita simak #AniesPresiden2024  #AniesMuhaimin2024,sutanrai,244,Negative
Wed Dec 13 14:58:51 +0000 2023,Rekomendasi Stationary Aesthetic yang Wajib Kamu Punya???  A thread~ #ShopeeID #shopee #haul #HappyBirthdayTaylorSwift #sasa #bist100 #cates #jjk245 #PrabowoGemoy #AniesMuhaimin2024 #unprofessore2 https://t.co/KMACBP7Cdu,kikuynehh,251,Neutral
Wed Dec 13 14:44:21 +0000 2023,Oh ini yang dimaksud di #DebatCapres tadi malam  #debatcapres2024  #AniesMuhaimin2024 #PrabowoGibran2024  #GanjarMahfud2024 https://t.co/PttU1T3Gbs,Latifa_Hazelnut,178,Neutral
Wed Dec 13 14:41:05 +0000 2023,"@msaid_didu @SBYudhoyono @Yusrilihza_Mhd @airlangga_hrt @fadlizon @AgusYudhoyono Gw yang selalu berpihak kepada oposisi dari 2014 bahkan sampai sekarang, Gw masih kuat,  dan yang ga kuat jadi oposisi hanyalah PAK GEMOY?? Buktinya sekarang berdampingan sama anak RIVALNYA Sendiri.! ?? #DebatCapres #AniesJuaraDebatCapres #AniesMuhaimin2024 #AMINAjaDulu https://t.co/D8vvb2Ey0Y",PERSIBPRIDE1933,406,Positive
Wed Dec 13 14:38:43 +0000 2023,Siaaappp! Kami haram pilih @prabowogibran02 @prabowo @gibran_tweet  #AniesMuhaimin2024,langitbirubth,117,Neutral
Wed Dec 13 14:32:37 +0000 2023,"maka pilihlah capres yg serius, bukan yg mainmain !  Pasangan @aniesbaswedan &amp  @cakimiNOW adalah satu2nya paslon paling serius ingin mengembalikan Indonesia ke jalan yg benar berdasarkan Pancasila &amp  UUD '45.    #AMINPalingSerius  #AniesMuhaimin2024  #AminPalingSiapUntukIndonesia https://t.co/hp6UR1sHMj",Warmuna3,342,Positive
Wed Dec 13 14:22:38 +0000 2023,@JamalBoegis AlhamdulillahirabbilÕalamin  #PilihNomorSatu #AniesMuhaimin2024 #AminAjaDulu,RizalIsaNst,120,Positive
Wed Dec 13 14:14:12 +0000 2023,Selesai acara #DesakAnies para pedagang &amp  peserta yang hadir berebut minta foto bersama pak Anies ??  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/WVEaKLWESP,Mdy_Asmara1701,193,Positive
Wed Dec 13 14:08:47 +0000 2023,Tidaaaaakkkkkkk. Maka pilihlah paslon nomor urut 1 #AMIN #AniesMuhaimin2024,kang_mash,106,Positive
Wed Dec 13 14:06:58 +0000 2023,Ramaikan ... #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/pGmG92wmWl,emha_Adarmawy,100,Positive
Wed Dec 13 14:01:55 +0000 2023,"ternyata skill ny joget dan melawak kok pak, kok nyapress sihh #DebatCapres #prabowosubianto #AniesMuhaimin2024",NoeKops,142,Positive
Wed Dec 13 14:00:30 +0000 2023,Wakanda no more ?? Indonesia forever ?????? #AMINAjaDulu #AniesMuhaimin2024 https://t.co/Z007frECKE,R3_Adv,130,Positive
Wed Dec 13 13:46:36 +0000 2023,Pasangan AMIN unggul secara umum dalam debat perdana.. #AniesMuhaimin2024  #AniesJuaraDebatCapres   @DPP_PKB @cakimiNOW @EmHasanuddin @dpwpkbjabar @SyaifulHooda @jamaludin190680 @PKBKuningan @Kosasih7Ujang @UjangOfficial  @KabFraksi @HaririOfficial @MCSPKBKuningan https://t.co/iIDKunwSfC,HaririOfficial,319,Negative
Wed Dec 13 13:45:20 +0000 2023,Pasangan AMIN unggul secara umum dalam debat perdana.. #AniesMuhaimin2024  #AniesJuaraDebatCapres   @DPP_PKB @cakimiNOW @EmHasanuddin @dpwpkbjabar @SyaifulHooda @jamaludin190680 @PKBKuningan @Kosasih7Ujang @UjangOfficial  @KabFraksi @HaririOfficial @MCSPKBKuningan https://t.co/y4Qz2bIMn5,AgungSukmaWija7,319,Negative
Wed Dec 13 13:44:36 +0000 2023,Kalo semua rakyat Indonesia Mau Jujur Anies Baswedan lah yang Paling Pantas dan Cakap Menjadi Presiden RI tahun 2024-2034  #AniesMuhaimin2024  #AMINAjaDulu  #AminPalingSiapUntukIndonesia,GustiGrage,217,Positive
Wed Dec 13 13:44:22 +0000 2023,Capres No 1 Indonesia Adil dan Makmur untuk Semua ????  Tanya Jawab Capres Anies Baswedan dengan Masyarakat Pekanbaru di acara #DesakAnies  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/GOEg3GjS76,Mdy_Asmara1701,227,Positive
Wed Dec 13 13:38:30 +0000 2023,"Perasaan ga selesai2 NYEBOKIN tuannya ini barisan belimbing sayur.  ??????nya banyak banget kah?  Uda dikasih anak bangsa yg sholeh, cerdas, track record baik, international quality sekelas Anies Baswedan, ayo coblos no 01 ?? #AniesMuhaimin2024 #AMINAjaDulu #sasa",Radjahoki_pro,294,Negative
Wed Dec 13 13:37:55 +0000 2023,Pasangan AMIN unggul secara umum dalam debat perdana.. #AniesMuhaimin2024  #AniesJuaraDebatCapres   @DPP_PKB @cakimiNOW @EmHasanuddin @dpwpkbjabar @SyaifulHooda @jamaludin190680 @PKBKuningan @Kosasih7Ujang @UjangOfficial  @KabFraksi @HaririOfficial @MCSPKBKuningan https://t.co/rAkuO4MAxE,KabFraksi,319,Negative
Wed Dec 13 13:27:27 +0000 2023,"#AniesMuhaimin2024  Tampil dalam debat dengan gemilang, Anies Baswedan akan memimpin Indonesia menjadi lebih baik.  NKRI akan terurus dengan baik bersama AMIN. https://t.co/nVyoc1K2JK",pikiranlugu,214,Positive
Wed Dec 13 13:23:29 +0000 2023,?? .. liat ini aja md2 an pd sadar..   #AniesMuhaimin2024,asshofi70,88,Neutral
Wed Dec 13 13:20:41 +0000 2023,Pesan @aniesbaswedan untuk anak muda  #aminajadulu #aniesmuhaimin2024 #No1 https://t.co/VbU7iork0y,DPWPKBJAKARTA,129,Positive
Wed Dec 13 13:15:53 +0000 2023,"Debat pertama nih bos ??  Jajak pendapat ÒLitbang KompasÓ menyatakan 37,9% responden menilai pasangan Capres - Cawapres No 1 Mas Anies dan Gus Imin (AMIN) ÒUNGGULÓ dalam debat perdana Capres 2024 ????  #AMINAjaDulu  #AMINMakinYakin #AniesMuhaimin2024 https://t.co/p20xXzeX8G",TppiKecArgapura,305,Positive
Wed Dec 13 13:07:19 +0000 2023,"@andre_rosiade tak asap, tanpa api  saat bertanya SANTUN, dijawab dgn CEMOOH, dan berakhir dgn BANTINGAN !!!  mayoritas audience se NKRI sdh dpt menilai SIAPA YG PALING BERKELAS dari debat sesi 1 ????  #AniesMuhaimin2024",BUZZERpensiun,251,Positive
Wed Dec 13 13:07:10 +0000 2023,"PALING SERIUS UNTUK INDONESIA,yang Laen SKIP aja..  #AminPalingSiapUntukIndonesia  #AMINTebaikNomor1  #AniesMuhaimin2024",BeYumoi,151,Positive
Wed Dec 13 13:04:36 +0000 2023,"@cakimiNOW Wakanda no more, Indonesia forever  #AMINUnggulDebatCapres  #AniesMuhaimin2024 https://t.co/0UwMBtrR5j",Humaira_balqiss,144,Positive
Wed Dec 13 13:02:00 +0000 2023,@herculep638 Bismillaahirrohmaanirrohiim... #AniesMuhaimin2024 #AniesMuhaimin2024,Ary_LFC,112,Neutral
